Tanggal,Produk,Jumlah_Unit_Terjual,Harga_Per_Unit,Total_Penjualan,Jenis_Promosi,Ketersediaan_Stok,Kampanye_Pemasaran,Inflasi,Suku_Bunga,Tingkat_Pengangguran,Suhu,Curah_Hujan,Aktivitas_Kompetitor
2019-09-20,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-09-21,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-09-22,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-09-23,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-09-24,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-09-25,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-09-26,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-09-27,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-09-28,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-09-29,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-09-30,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-10-01,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-10-02,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-10-03,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-10-04,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-10-05,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-10-06,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-10-07,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-10-08,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-10-09,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-10-10,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-10-11,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-10-12,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-10-13,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-10-14,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-10-15,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-10-16,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-10-17,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-10-18,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-10-19,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-10-20,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-10-21,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-10-22,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-10-23,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-10-24,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-10-25,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-10-26,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-10-27,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-10-28,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-10-29,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-10-30,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-10-31,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-11-01,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-11-02,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-11-03,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-11-04,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-11-05,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-11-06,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-11-07,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-11-08,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-11-09,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-11-10,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-11-11,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-11-12,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-11-13,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-11-14,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-11-15,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-11-16,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-11-17,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-11-18,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-11-19,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-11-20,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-11-21,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-11-22,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-11-23,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-11-24,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-11-25,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-11-26,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-11-27,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-11-28,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-11-29,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-11-30,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-12-01,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-12-02,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-12-03,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-12-04,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-12-05,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-12-06,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-12-07,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-12-08,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-12-09,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-12-10,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-12-11,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-12-12,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-12-13,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-12-14,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-12-15,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-12-16,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-12-17,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-12-18,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-12-19,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-12-20,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-12-21,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-12-22,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-12-23,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-12-24,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-12-25,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-12-26,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2019-12-27,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2019-12-28,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2019-12-29,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2019-12-30,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2019-12-31,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-01-01,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-01-02,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-01-03,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-01-04,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-01-05,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-01-06,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-01-07,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-01-08,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-01-09,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-01-10,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-01-11,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-01-12,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-01-13,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-01-14,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-01-15,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-01-16,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-01-17,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-01-18,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-01-19,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-01-20,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-01-21,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-01-22,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-01-23,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-01-24,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-01-25,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-01-26,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-01-27,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-01-28,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-01-29,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-01-30,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-01-31,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-02-01,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-02-02,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-02-03,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-02-04,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-02-05,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-02-06,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-02-07,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-02-08,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-02-09,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-02-10,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-02-11,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-02-12,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-02-13,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-02-14,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-02-15,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-02-16,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-02-17,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-02-18,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-02-19,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-02-20,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-02-21,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-02-22,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-02-23,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-02-24,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-02-25,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-02-26,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-02-27,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-02-28,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-02-29,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-03-01,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-03-02,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-03-03,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-03-04,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-03-05,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-03-06,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-03-07,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-03-08,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-03-09,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-03-10,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-03-11,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-03-12,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-03-13,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-03-14,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-03-15,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-03-16,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-03-17,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-03-18,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-03-19,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-03-20,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-03-21,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-03-22,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-03-23,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-03-24,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-03-25,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-03-26,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-03-27,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-03-28,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-03-29,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-03-30,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-03-31,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-04-01,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-04-02,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-04-03,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-04-04,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-04-05,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-04-06,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-04-07,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-04-08,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-04-09,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-04-10,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-04-11,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-04-12,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-04-13,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-04-14,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-04-15,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-04-16,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-04-17,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-04-18,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-04-19,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-04-20,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-04-21,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-04-22,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-04-23,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-04-24,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-04-25,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-04-26,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-04-27,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-04-28,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-04-29,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-04-30,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-05-01,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-05-02,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-05-03,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-05-04,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-05-05,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-05-06,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-05-07,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-05-08,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-05-09,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-05-10,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-05-11,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-05-12,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-05-13,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-05-14,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-05-15,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-05-16,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-05-17,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-05-18,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-05-19,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-05-20,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-05-21,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-05-22,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-05-23,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-05-24,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-05-25,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-05-26,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-05-27,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-05-28,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-05-29,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-05-30,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-05-31,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-06-01,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-06-02,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-06-03,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-06-04,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
2020-06-05,Produk B,60,200000,12000000,Cashback,150,Offline,2.8,5.0,5.1,30,80,None
2020-06-06,Produk C,70,150000,10500000,Bundling,120,Social Media,3.0,5.3,5.2,29,120,Penurunan Harga
2020-06-07,Produk D,80,250000,20000000,None,200,None,2.7,5.1,5.3,27,90,None
2020-06-08,Produk E,90,300000,27000000,Diskon,80,Online,2.9,5.4,5.4,26,110,Peluncuran Produk
2020-06-09,Produk A,50,100000,5000000,Diskon,100,Online,3.1,5.5,5.0,28,100,Promosi
